artist_name,track_id,track_name,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,popularity,energy_scaled,valence_scaled,tempo_scaled,danceability_scaled,loudness_scaled
Binaural Beats Sleep,7J4NMfZP1u8KdeJmvTJYVW,Sleep Music (Binaural Beats),0.916,0.151,193810,0.0266,0.7040000000000001,4,0.0946,-31.175,1,0.0463,136.125,4,0.0366,15,-2.074613503049629,-1.5555963290617167,0.5562592928705102,-2.2567224646082567,-3.2249435838757883
Arturo de la Torre,2d4BPamRUrIrazuEIMt8ye,Penelope,0.977,0.534,135347,0.081,0.898,0,0.179,-19.424,0,0.0387,120.311,4,0.0982,2,-1.8662746725259158,-1.317990999516299,0.0329212148720851,-0.24274562730137875,-1.4343906264910138
Paperfiends,09U9CoopRQD9PdVWc1XQwn,Road Running Boys,0.00138,0.86,99631,0.4529999999999999,0.0042,8,0.1,-15.657,1,0.118,129.88,4,0.8109999999999999,8,-0.44160472850346855,1.4314420995092492,0.3495913848712584,1.4715009757326736,-0.8603958183497116
The Maine,6GrCoNDjXBp5xun7HRGFuq,The Sound of Reverie (Remix),0.0488,0.551,222143,0.6829999999999999,0.000225,1,0.0583,-7.717,1,0.037,104.987,4,0.335,30,0.43923959172546434,-0.40459908334170597,-0.47420112654993823,-0.1533523995357992,0.34945785211536434
UNC Achordants,4Zug4N3utYF9xNVFaJomp1,Would You Mind,0.529,0.7020000000000001,181209,0.7390000000000001,0.0,0,0.107,-5.405,0,0.0809,116.356,4,0.924,3,0.6537060349116399,1.8673090189675645,-0.09796294463744942,0.6406698000290535,0.7017477370165299
Marisela,7jW80gAgUu0X07aG9pLxwg,Yo Sé Que Tu,0.5710000000000001,0.711,223800,0.374,0.000286,7,0.151,-12.804,1,0.0289,112.029,4,0.4379999999999999,44,-0.7441556037125364,-0.007304457640764452,-0.2411578266090686,0.6879956264931832,-0.4256713193778147
Crayon,4bA742BO2cRKAZPle3D3UD,Pink,0.959,0.358,136345,0.208,3.55e-06,7,0.264,-13.823,1,0.0351,101.407,3,0.0819999999999999,18,-1.3798954174429836,-1.3804781154032437,-0.5926752835775316,-1.16822845593326,-0.5809409529047558
Antonio Spaziani,0g7tkcPntTANEQer45ZWUi,Raga,0.782,0.685,155643,0.38,0.941,4,0.136,-13.82,0,0.0585,139.942,4,0.665,22,-0.7211770562283033,0.8682866106516035,0.6825765714666905,0.551276572263474,-0.5804838293516833
The Lawrence Arms,5IIdsES35Zh7vdUUAmMgYw,The Devil's Takin' Names,0.0421,0.371,119600,0.975,0.0,0,0.214,-4.713,1,0.107,102.988,4,0.379,16,1.5575289026248051,-0.23488099080926478,-0.5403547131136697,-1.0998689288184051,0.8071909032585743
Johnny Yukon,5l3n3nqDpxx5SFNYZf7eG6,First Night,0.0135,0.726,220196,0.642,0.0,0,0.138,-6.037999999999999,1,0.0338,140.065,4,0.382,39,0.28221951724987226,-0.22330930268205287,0.6866470522807666,0.7668720039334005,0.6052946673182438
